Wavelength(A),Level(A)
1540.2110676556529,2.382294519698851e-05
1540.2605253355596,2.3709377741903254e-05
1540.3099861918372,2.439928544462994e-05
1540.3594502247913,2.4283667999173352e-05
1540.4089174347282,2.348489323463695e-05
1540.458387821954,2.3402831980419326e-05
1540.5078613867747,2.3287340979829386e-05
1540.5573381294964,2.320382564138671e-05
1540.6068180504255,2.3911063077792276e-05
1540.6563011498683,2.383957372587869e-05
1540.7057874281309,2.5422223438377296e-05
1540.7552768855196,2.534943415965627e-05
1540.804769522341,0.00012689022450154558
1540.8542653389013,0.0001266212737942615
1540.903764335507,0.00044315159323473475
1540.9532665124648,0.0004423807289695877
1541.0027718700806,0.00047104337809307387
1541.0522804086615,0.0004698247255970787
1541.101792128514,0.00047602981984809354
1541.1513070299447,0.00047585319286047074
1541.2008251132602,0.000472161857792341
1541.2503463787673,0.00047163570643176566
1541.2998708267728,0.0004676059125845168
1541.3493984575834,0.00046701405798320225
1541.3989292715062,0.0004662149670152148
1541.4484632688475,0.00046611062508809234
1541.4980004499148,0.0004617895470731221
1541.5475408150148,0.00046140724355131073
1541.5970843644543,0.00023551302565027167
1541.6466310985409,0.00023542507571872831
1541.696181017581,4.5121315987771644e-05
1541.7457341218822,4.512170802334699e-05
1541.7952904117515,2.5001087212971254e-05
1541.844849887496,2.499617231080198e-05
1541.894412549423,2.156496882868025e-05
1541.9439783978398,2.158984183536856e-05
1541.9935474330537,2.2325436391839837e-05
1542.0431196553718,2.2338781493548028e-05
1542.092695065102,2.4486665090646066e-05
1542.1422736625514,2.450859665806354e-05
1542.1918554480276,2.1304493045972093e-05
1542.241440421838,2.130766945940893e-05
1542.29102858429,2.3888114661231653e-05
1542.3406199356914,2.392726270666596e-05
1542.3902144763497,0.0001849450734577061
1542.4398122065727,0.00018526102754168962
1542.489413126668,0.0005284770372558531
1542.5390172369437,0.0005289965167359236
1542.588624537707,0.0006097755479700054
1542.638235029266,0.0006103090287370237
1542.6878487119286,0.0006175147722230193
1542.7374655860028,0.0006180973743158307
1542.7870856517964,0.0006177516399176607
1542.8367089096173,0.0006194611680138551
1542.8863353597735,0.0006183043061009368
1542.9359650025733,0.0006191323379808007
1542.9855978383246,0.0006224209405662404
1543.0352338673358,0.0006235567825251816
1543.084873089915,0.0006109417751670185
1543.13451550637,0.0006118754167917725
1543.1841611170094,0.00029480674430552503
1543.2338099221415,0.00029544847647922274
1543.2834619220746,5.347057429037285e-05
1543.3331171171171,5.3513113077066036e-05
1543.3827755075774,2.806132148644483e-05
1543.432437093764,2.812745653450749e-05
1543.4821018759856,2.58511369518956e-05
1543.5317698545502,2.590205251448433e-05
1543.5814410297667,2.408117290166702e-05
1543.6311154019438,2.414066681021636e-05
1543.68079297139,2.226937761309021e-05
1543.7304737384138,2.230338756585874e-05
1543.7801577033244,2.492923791215854e-05
1543.8298448664307,2.4995452706312687e-05
1543.8795352280408,2.8662808962395617e-05
1543.9292287884641,2.8729737208586852e-05
1543.978925548009,0.00016087381775516796
1544.0286255069852,0.000161145104619247
1544.0783286657008,0.00043910154493279904
1544.1280350244656,0.00044033149293493795
1544.1777445835883,0.0005230242421174701
1544.2274573433779,0.0005241543218549245
1544.2771733041436,0.0005301005326122144
1544.3268924661945,0.0005314621891279259
1544.37661482984,0.0005330378142165066
1544.4263403953894,0.0005347802797082997
1544.4760691631516,0.0005351967261791482
1544.5258011334363,0.0005363557462928069
1544.5755363065527,0.0005429358225137891
1544.6252746828106,0.0005442407884166139
1544.6750162625187,0.0005314377713517985
1544.7247610459874,0.000532843408709549
1544.7745090335256,0.00023008910591188904
1544.824260225443,0.0002305366206944817
1544.874014622049,4.773873431198699e-05
1544.9237722236537,4.7828745876433e-05
1544.9735330305666,2.799524763150742e-05
1545.0232970430975,2.80797635362258e-05
1545.0730642615558,2.6809072648654342e-05
1545.1228346862517,2.688779058821937e-05
1545.1726083174951,2.5098469399639678e-05
1545.2223851555955,2.5156801813846934e-05
1545.2721652008636,2.8228756527855872e-05
1545.3219484536082,2.8294740863027458e-05
1545.3717349141402,2.7991884272761714e-05
1545.4215245827695,2.8069075035994076e-05
1545.471317459806,3.5468517185792944e-05
1545.52111354556,3.555757018076339e-05
1545.5709128403416,0.00018180370928655865
1545.620715344461,0.00018226136304099784
1545.6705210582284,0.0004993555129086824
1545.7203299819541,0.0005007280873346281
1545.7701421159486,0.0005908615360388084
1545.8199574605221,0.0005921924393042395
1545.869776015985,0.0005970802684485674
1545.919597782648,0.0005984198846438223
1545.9694227608213,0.0006016048533672216
1546.0192509508156,0.00060325629881482
